,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,url
188132,tt2327541,movie,The Big Ask,Teddy Bears,0,2013,\N,91,"Comedy,Drama",4.8,628,https://www.imdb.com/title/tt2327541/
246337,tt8056032,movie,Nocturnal Times,Pathirakalam,0,2018,\N,133,"Crime,Drama",7.5,21,https://www.imdb.com/title/tt8056032/
136882,tt10488892,movie,The Redtails,The Redtails,0,2018,\N,89,"Adventure,Comedy",3.8,98,https://www.imdb.com/title/tt10488892/
255020,tt9684784,movie,2019 Oscar Nominated Short Films: Live Action,The Oscar Nominated Short Films 2019: Live Action,0,2019,\N,108,Drama,7.0,77,https://www.imdb.com/title/tt9684784/
34147,tt0066941,movie,Confessions Among Actresses,Kokuhakuteki joyûron,0,1971,\N,124,Drama,6.9,219,https://www.imdb.com/title/tt0066941/
98613,tt0289352,movie,Las musiqueras,Las musiqueras,0,1983,\N,93,"Comedy,Drama",3.9,12,https://www.imdb.com/title/tt0289352/
71321,tt0158530,movie,Merry Christmas... Happy New Year,Buon Natale... Buon anno,0,1989,\N,100,"Comedy,Drama,Romance",6.3,117,https://www.imdb.com/title/tt0158530/
169369,tt1662514,movie,Jedi Junkies,Jedi Junkies,0,2010,\N,75,Documentary,5.3,470,https://www.imdb.com/title/tt1662514/
13963,tt0037288,movie,Snöstormen,Snöstormen,0,1944,\N,79,Drama,2.8,7,https://www.imdb.com/title/tt0037288/
195770,tt2791442,movie,Richie Rich: The Boy with the Bucks,Richie Rich: The Boy with the Bucks,0,1981,\N,\N,Animation,5.8,19,https://www.imdb.com/title/tt2791442/
31865,tt0063406,movie,Il padre di famiglia,Il padre di famiglia,0,1967,\N,110,"Comedy,Drama",6.5,231,https://www.imdb.com/title/tt0063406/
7379,tt0027160,movie,The Bachelor Father,Ungkarlspappan,0,1935,\N,100,Comedy,6.4,12,https://www.imdb.com/title/tt0027160/
148737,tt1235833,movie,Bombay Summer,Bombay Summer,0,2009,\N,102,Drama,5.8,110,https://www.imdb.com/title/tt1235833/
246949,tt8157074,movie,Dreamfactory,Traumfabrik,0,2019,\N,125,"Comedy,Drama,Romance",6.6,1056,https://www.imdb.com/title/tt8157074/
49740,tt0093953,movie,Shantazhist,Shantazhist,0,1988,\N,92,"Crime,Drama",6.3,29,https://www.imdb.com/title/tt0093953/
79549,tt0192657,movie,Shiri,Swiri,0,1999,\N,125,"Action,Thriller",6.6,8123,https://www.imdb.com/title/tt0192657/
83781,tt0211967,movie,Bumerang,Bumerang,0,1979,\N,112,Drama,6.7,17,https://www.imdb.com/title/tt0211967/
6200,tt0025141,movie,Friends of Mr. Sweeney,Friends of Mr. Sweeney,0,1934,\N,68,"Comedy,Drama,Romance",6.0,105,https://www.imdb.com/title/tt0025141/
42657,tt0081237,movie,The Ninth Configuration,The Ninth Configuration,0,1980,\N,118,"Comedy,Drama,Horror",6.9,7365,https://www.imdb.com/title/tt0081237/
208475,tt3784172,movie,Morir Soñando,Morir Soñando,0,2014,\N,104,Action,5.2,25,https://www.imdb.com/title/tt3784172/
69506,tt0149648,movie,American Cowboy,American Cowboy,0,1998,\N,52,Documentary,6.5,29,https://www.imdb.com/title/tt0149648/
157767,tt1389381,movie,Tiltil,Tiltil,0,2008,\N,\N,"Crime,Drama",8.0,14,https://www.imdb.com/title/tt1389381/
216064,tt4515762,movie,Another WolfCop,Another WolfCop,0,2017,\N,82,"Comedy,Fantasy,Horror",5.0,1390,https://www.imdb.com/title/tt4515762/
60812,tt0116234,movie,An Essay on Matisse,An Essay on Matisse,0,1996,\N,57,Documentary,6.9,24,https://www.imdb.com/title/tt0116234/
